pred_x,pred_y,true_x,true_y,euclidean_error
0.6910988,0.6746472,0.0,0.28959277,0.79112864
0.6828452,0.6687213,0.0,0.3800905,0.7413402
0.68750507,0.6713986,0.0,0.47058824,0.7162318
0.71087366,0.68674976,0.0,0.561086,0.7218952
0.7228151,0.69460917,0.0,0.65158373,0.7240945
0.7228421,0.69437,0.0,0.74208146,0.72441494
0.7181995,0.6909504,0.0,0.8325792,0.73203087
0.7100807,0.68525225,0.0,0.9230769,0.7488492
0.69449323,0.6747172,0.0017730496,1.0,0.76529086
0.6397754,0.6387633,0.019503547,1.0,0.7177946
0.5727025,0.59526485,0.03723404,1.0,0.67122054
0.5346264,0.5705869,0.05496454,1.0,0.6437943
0.5800754,0.6005429,0.07269503,1.0,0.645756
0.54475385,0.5781518,0.09042553,1.0,0.61997586
0.51138854,0.5571048,0.108156025,1.0,0.5989596
0.4587946,0.524657,0.12588653,1.0,0.5803264
0.47611827,0.5360986,0.14361702,1.0,0.5707553
0.70054513,0.68306845,0.16134752,1.0,0.6254436
0.7477496,0.714523,0.17907801,1.0,0.63630533
0.7488412,0.7152606,0.19680852,1.0,0.6211414
0.74891526,0.7152924,0.214539,1.0,0.60548854
0.7477659,0.7144592,0.23226951,1.0,0.5892962
0.7416156,0.71013963,0.25,1.0,0.57070565
0.7001117,0.6820793,0.2677305,1.0,0.53668153
0.6880065,0.6735897,0.28546098,1.0,0.51825345
0.72033083,0.69401044,0.30319148,1.0,0.5173344
0.72768503,0.6983868,0.320922,1.0,0.5063859
0.7240743,0.6954413,0.3386525,1.0,0.49122906
0.70799357,0.68413514,0.35638297,1.0,0.47265276
0.54000163,0.5732925,0.37411347,1.0,0.45781896
0.70158535,0.67966723,0.39184397,1.0,0.44559264
0.7249687,0.6957191,0.40957448,1.0,0.4382469
0.7291178,0.6987457,0.42730495,1.0,0.42643303
0.73244447,0.7011345,0.44503546,1.0,0.41463783
0.73487926,0.70290065,0.46276596,1.0,0.4028817
0.66555357,0.6571329,0.48049647,1.0,0.3896203
0.53226244,0.5705987,0.49822694,1.0,0.43074805
0.51088023,0.5567434,0.5159575,1.0,0.4432857
0.47789627,0.5349588,0.53368795,1.0,0.46837598
0.45020145,0.51656836,0.5514184,1.0,0.49391398
0.4026475,0.48477328,0.56914896,1.0,0.54146224
0.23075512,0.36599067,0.58687943,1.0,0.72718114
0.22386086,0.36073816,0.6046099,1.0,0.74406016
0.22643608,0.3627824,0.62234044,1.0,0.75019103
0.23353285,0.36814827,0.6400709,1.0,0.75133866
0.2456103,0.3768785,0.6578014,1.0,0.74711573
0.3459752,0.44534558,0.6755319,1.0,0.6451738
0.4214478,0.49566483,0.6932624,1.0,0.57291985
0.43031818,0.5015778,0.71099293,1.0,0.5720166
0.42703855,0.49941254,0.7287234,1.0,0.58446693
0.4237817,0.4973424,0.7464539,1.0,0.59731233
0.41675955,0.49277008,0.7641844,1.0,0.6148059
0.5971477,0.61128885,0.7819149,1.0,0.43038967
0.5884236,0.60569704,0.79964536,1.0,0.4473136
0.6268191,0.63052166,0.8173759,1.0,0.41572362
0.660459,0.6526201,0.8351064,1.0,0.38881168
0.6475156,0.643767,0.8528369,1.0,0.4111676
0.4419667,0.50901777,0.8705674,1.0,0.65173775
0.41210264,0.48954594,0.88829786,1.0,0.69808686
0.41594565,0.49246103,0.9060284,1.0,0.7055331
0.5288173,0.5673022,0.92375886,1.0,0.5858381
0.55241686,0.58323026,0.94148934,1.0,0.570153
0.51091236,0.5566691,0.9592199,1.0,0.6304934
0.4591987,0.5248782,0.97695035,1.0,0.7027144
0.4598624,0.52570415,0.9946808,1.0,0.71483374
0.6237265,0.6322619,1.0,0.8433735,0.43145087
