epoch,train_loss,val_loss
1,0.2663618581429936,0.2909514193779954
2,0.190145494188828,0.19303545188680987
3,0.16474816418047852,0.1580889010540793
4,0.1623866288537729,0.15068338393607986
5,0.16044489892290903,0.1634965460991191
6,0.15899321822522836,0.1583006471116966
7,0.15768059151307562,0.15409965854938898
8,0.15621862121908478,0.15453424047086842
9,0.15487369906293516,0.15943933842338134
10,0.153376195464075,0.17044113966349128
11,0.15215593425260074,0.15941666178057126
12,0.14796544974470566,0.18282284357837428
13,0.14449585318112884,0.16476955800970025
14,0.13764954918289776,0.16336386504574357
15,0.13197732933271827,0.1465905871346732
16,0.12717677808634736,0.1417982266328045
17,0.12476763103524927,0.17107018118149767
18,0.12144272058194386,0.15659178375640762
19,0.119328053368627,0.1564835208320172
20,0.1160112202085241,0.16701314981295684
21,0.11265933186103756,0.16891023265981228
22,0.10901791612656879,0.17569477006653758
23,0.10781224895708309,0.18990377664008987
24,0.10437168913660089,0.18364391162573734
25,0.10043516681061028,0.1570943655254685
26,0.0976398428085757,0.17282781297358396
27,0.09385564549471939,0.15445853003831667
28,0.09199680107741458,0.1596097142618393
29,0.09031699351539606,0.177196933705116
30,0.08945691729513343,0.19769081710097947
31,0.08737093320770704,0.16790622723436802
32,0.08655890148824621,0.1712348263397395
33,0.08403820134159448,0.21681315082812977
34,0.08353101145900307,0.19216232336013117
35,0.08397550717397259,0.18237954921254487
36,0.08254434791020149,0.22157521685150183
37,0.08236663115999467,0.19537553943206218
38,0.08107753210103948,0.20874040204787922
39,0.08049963747862704,0.19760580876163233
40,0.08009693078732721,0.16677859091313085
41,0.08001371128568162,0.2119260278539123
42,0.07813616273854007,0.18159490990861554
43,0.07899530833038156,0.17908484036120298
44,0.07671717950769587,0.1892064787517084
45,0.07685979794045002,0.20319338880966756
46,0.07564287734512957,0.22597967450306794
47,0.07526386021703914,0.21382245491041202
48,0.07407826667020369,0.20315918521346332
49,0.07330635158644618,0.19760632361764105
50,0.07403039486450191,0.17343881016022691
