epoch,train_loss,val_loss
1,0.19516260207471786,0.20386744390988182
2,0.14547790326258533,0.1895097904171504
3,0.14185966438660097,0.1855380839489876
4,0.1393541154284714,0.18496664787860626
5,0.13320907625343578,0.20227789498390036
6,0.12240401541182598,0.2071612519575349
7,0.11577013785071816,0.20617184698158966
8,0.11240487428257326,0.2027589759082659
9,0.11387065699883207,0.20251446962356567
10,0.11149611596026122,0.18674130748349724
11,0.10822248764609672,0.19233816312559954
12,0.1059317966323692,0.22612141336955077
13,0.10301669073928767,0.20485296718617704
14,0.10309894944563283,0.22383530638742108
15,0.10085529529893887,0.19916412593625116
16,0.10150162347835805,0.2088289905524423
17,0.09988679793174529,0.20479521039107168
18,0.0965908352551141,0.22163777655743538
19,0.09790633560900554,0.21292078706389622
20,0.09673702382114485,0.21896738891905926
21,0.09558834557141907,0.2106911470281317
22,0.09445270730210689,0.21744816882390502
23,0.09654268902398598,0.21393009555255268
24,0.09308038436310853,0.2245548111749879
25,0.0930529811920409,0.19980737418993144
26,0.09233839650584091,0.20531202017838227
27,0.0915149494796412,0.22687715609022913
28,0.09082253669945776,0.23730343685927965
29,0.09072464110719977,0.222370168630113
30,0.09011316592312271,0.20399356733822654
31,0.09118606219345755,0.20628133521857836
32,0.09078030869139452,0.20419955422692265
33,0.08995494753379801,0.20458734215151334
34,0.0885176879251235,0.19626048841374985
35,0.08776369407676467,0.21779328352170632
36,0.08903877120102971,0.21675563006536336
37,0.08741824563842097,0.22351926607443084
38,0.08623219693389361,0.20556048520490633
39,0.08850422676161865,0.2010808253119178
40,0.09261180017923948,0.19810220662583697
41,0.08976102638064398,0.21563943290541357
42,0.08849337479787563,0.22147906481796967
43,0.0869426589386767,0.20090024479737517
44,0.08650859673839409,0.20822982690858502
45,0.08641830944409895,0.20694160419152985
46,0.08651681162304291,0.2071363055114205
47,0.08804315816184614,0.20691750256727773
48,0.08576457228181686,0.22336787809716893
49,0.08400615589536292,0.233707698101693
50,0.08468310744149639,0.21962210514866715
